orbital_period,transit_epoch,transit_duration,transit_depth,planet_radius,disposition,dataset
7.82187328,123.49907,3.8417,42.2,2.78,1,KOI
53.5057611,172.98304,10.5616,195.6,2.52,1,KOI
2.785821236,260.83731,3.5599,68.9,1.69,0,KOI
1.269091415,133.343682,1.4647,340.9,1.41,0,KOI
2.853133997,133.79678,1.465,277.1,1.36,0,KOI
6.79685353,138.11324,3.1702,393.1,2.01,0,KOI
1.475323222,131.83272,2.3155,154.9,5.88,0,KOI
4.15246118,134.57991,2.5755,223.4,7.62,0,KOI
8.7348852,135.0818,4.49,270.7,1.59,0,KOI
13.4471791,132.830555,3.0454,1428.2,5.24,1,KOI
67.5923754,151.75056,12.249,4158.1,12.1,0,KOI
17.02902786,143.33395,4.645,568.9,2.54,0,KOI
6.84619236,132.17265,3.529,246.8,1.67,0,KOI
67.8321638,125.881,7.358,507.8,2.39,0,KOI
43.1312147,166.26105,3.198,447.8,2.39,0,KOI
1.224866441,133.20824,1.7086,196.0,1.54,0,KOI
37.8102649,158.35799,8.733,570.3,2.33,0,KOI
25.93406406,149.76273,4.6142,414.5,2.48,0,KOI
83.4463485,158.68061,6.536,503.0,2.73,0,KOI
12.99204853,136.32016,6.0175,270.6,2.03,0,KOI
52.09081627,158.744665,8.6388,2894.1,7.14,0,KOI
4.28746668,262.06245,1.5693,790.1,2.29,0,KOI
8.18739443,260.86931,3.0472,517.6,1.92,0,KOI
76.0498163,161.71445,7.158,445.9,1.75,0,KOI
3.341799486,141.35472,2.9254,178.2,1.67,0,KOI
3.749105745,135.10837,1.9826,182.6,1.68,0,KOI
11.08956602,141.76142,6.2877,148.1,3.51,0,KOI
7.37290344,137.60991,2.172,205.2,2.67,1,KOI
119.0624882,149.22223,3.1188,5372.3,10.4,1,KOI
8.70798309,363.05638,2.4904,1419.6,2.01,0,KOI
14.8623076,354.57297,3.161,840.0,1.57,1,KOI
4.17634276,352.99674,2.335,531.5,1.23,0,KOI
27.40229859,133.6284,6.8491,747.5,3.63,0,KOI
3.179267286,261.841607,1.0246,200.9,1.21,0,KOI
10.38122447,268.02421,2.715,801.5,2.18,0,KOI
24.5709023,135.87209,3.587,764.2,2.82,0,KOI
3.024092505,132.4168573,2.8021,7765.0,12.14,0,KOI
1.022678654,133.45422,1.3712,129.2,1.14,0,KOI
12.10968709,140.21258,6.3461,284.7,2.98,0,KOI
4.75796103,137.69636,4.66,124.5,1.7,0,KOI
20.4972755,147.43894,8.536,242.9,2.96,0,KOI
53.5292702,147.86464,5.668,1086.1,2.28,0,KOI
2.757584622,133.05017,0.9267,563.1,1.01,0,KOI
0.928310036,133.80358,1.1899,376.2,1.16,0,KOI
13.48457668,136.61808,5.0197,653.5,3.39,0,KOI
31.8841473,160.20696,6.122,910.0,3.7,0,KOI
16.15811112,143.00233,6.049,2319.8,86.13,1,KOI
12.06222962,138.22229,2.0584,300.2,1.62,0,KOI
9.93146307,136.49128,5.678,398.6,2.41,0,KOI
21.85362905,144.32031,3.439,355.6,1.75,0,KOI
8.19345065,138.99617,5.234,115.4,1.74,0,KOI
41.8059544,142.81919,6.057,434.4,2.02,0,KOI
4.77800306,124.061465,2.7361,473.0,1.85,0,KOI
5.32667299,357.12617,3.4045,611.4,2.26,0,KOI
8.17242644,361.20157,3.902,864.3,3.29,0,KOI
1295.362215,176.10646,28.297,8708.0,57.82,1,KOI
13.0607936,137.63148,3.215,236.6,1.45,0,KOI
4.2989201,132.86187,2.747,237.6,2.12,1,KOI
5.714817603,355.00831,3.14126,12295.0,9.29,1,KOI
8.70420525,357.55941,2.9385,1074.9,2.86,0,KOI
8.1280933,358.68367,3.727,224.1,1.39,0,KOI
2.83668931,353.81531,3.031,166.1,1.19,1,KOI
0.974868896,133.076265,1.6191,197.6,1.16,0,KOI
4.89721006,133.39852,1.812,274.4,1.48,0,KOI
16.08832318,139.49184,5.731,597.8,3.42,0,KOI
10.30067919,142.74251,4.885,271.8,2.2,0,KOI
35.6757453,145.00717,7.381,471.2,3.02,0,KOI
16.56806842,146.15285,4.2647,1331.4,2.54,0,KOI
47.3329299,151.41614,2.708,931.5,2.18,0,KOI
40.8065333,155.71586,13.135,313.9,3.71,0,KOI
2.46697039,354.93093,1.6345,308.7,1.56,0,KOI
2.624234833,132.304988,1.3874,2607.0,5.11,1,KOI
6.61836309,360.36694,3.6813,549.1,2.98,0,KOI
107.7214092,354.19522,8.042,1396.2,4.75,0,KOI
92.77779,367.6112,6.64,359.0,1.92,1,KOI
9.673958488,125.339418,3.2641,952.7,2.63,0,KOI
14.12847677,142.8971,3.685,628.7,2.73,0,KOI
48.6478543,172.1271,5.464,641.8,4.14,0,KOI
8.39842977,136.31152,6.344,340.1,2.0,0,KOI
8.63847391,139.94684,5.4566,395.9,5.99,0,KOI
422.917678,448.49648,31.274,1367.7,5.89,1,KOI
140.10765,216.21749,18.503,266.8,3.42,0,KOI
3.4815917,132.98828,1.8069,135.2,1.17,0,KOI
35.61760233,197.03573,8.4559,4634.9,5.17,0,KOI
10.12805158,139.1159,3.517,477.4,1.95,0,KOI
3.770551475,357.11836,3.8077,12440.0,12.05,0,KOI
5.72812616,135.18066,2.0295,643.4,1.38,0,KOI
3.75574267,133.4333,2.2911,417.4,1.58,0,KOI
6.581477136,174.787814,3.0896,2318.9,4.56,0,KOI
24.669192732,132.864236,7.03515,7382.3,77.76,0,KOI
2.382652873,170.66626,1.8888,705.4,2.74,0,KOI
24.66461416,189.02031,2.8579,2398.8,5.34,0,KOI
11.51517167,174.85855,2.006,1357.4,2.9,0,KOI
7.641567589,135.407564,3.41018,2269.7,4.91,0,KOI
7.40742502,355.49652,3.675,442.0,2.01,0,KOI
10.916108342,133.009227,3.6496,1479.0,3.93,0,KOI
3.353732008,134.869597,1.4598,1264.7,1.65,0,KOI
6.877446033,132.08426,1.3692,1632.3,2.05,0,KOI
28.46464804,158.03986,2.6657,1629.8,1.87,0,KOI
42.89645024,146.0613,5.6897,555.3,2.0,0,KOI
30.5872153,162.8842,5.3698,464.8,2.32,1,KOI
7.09712124,136.34514,2.1059,369.5,0.74,0,KOI
3.601465336,171.99184,2.2753,777.7,2.31,0,KOI
25.8474958,188.874,5.985,537.4,2.4,0,KOI
40.715561,146.36485,6.894,680.9,2.7,0,KOI
17.31711739,142.36094,3.1518,1473.0,2.04,0,KOI
9.42889884,140.1046,4.4481,565.4,4.39,0,KOI
9.95639775,134.29186,5.615,510.5,28.15,1,KOI
6.50327035,135.26657,2.591,418.3,1.67,0,KOI
4.09667624,133.09833,2.19,302.3,1.42,0,KOI
1.196548464,132.53363,1.2592,224.6,1.25,0,KOI
11.47609015,135.39622,5.046,182.3,2.07,0,KOI
25.2630467,134.18397,6.22,125.5,1.71,0,KOI
0.677374687,133.94573,1.8361,76.7,0.9,0,KOI
10.43547031,134.82462,3.4167,210.2,1.22,0,KOI
7.41084314,135.75425,3.245,124.1,0.94,0,KOI
28.59914031,189.92667,3.6567,1585.1,1.83,0,KOI
24.58716355,173.70572,3.984,907.5,2.37,0,KOI
12.53248222,170.76535,4.0168,1145.9,3.24,0,KOI
31.201692472,183.4076137,2.15663,34514.0,8.31,1,KOI
13.19720694,171.545479,3.4872,2141.4,4.18,0,KOI
14.85890852,128.154869,3.5252,3269.0,5.94,0,KOI
4.08897299,135.76402,3.585,157.9,2.36,0,KOI
17.44486016,141.6802,4.445,826.9,3.24,0,KOI
7.33685101,138.5829,3.548,325.8,1.52,0,KOI
7.71790675,139.15725,1.84,306.8,0.9,0,KOI
27.6652847,144.8714,6.633,469.2,2.21,0,KOI
14.55730897,145.095012,7.7643,956.9,4.32,0,KOI
6.810823723,136.04667,7.98574,14447.0,26.06,1,KOI
33.6528474,147.8025,3.9616,1140.8,3.05,0,KOI
5.90127815,171.40674,2.1979,1525.2,1.94,0,KOI
8.75209691,170.63671,2.3742,1367.6,1.83,0,KOI
22.78078241,155.20408,3.3002,1925.1,2.17,0,KOI
2.896005211,133.61228,1.6776,614.1,1.23,0,KOI
0.742957911,133.27936,0.6688,843.3,1.47,0,KOI
18.82744023,196.19088,4.664,1006.2,2.7,0,KOI
5.747711909,133.29939,1.8923,820.1,1.86,0,KOI
