orbital_period,transit_duration,transit_depth,planet_radius,radius_ratio,stellar_teff,stellar_radius,stellar_mass,insolation_flux,teq,label,mission
4.64090031,35.512,2450.6,30.09,0.333559,6463.0,0.826,0.786,421.08,1155.0,CANDIDATE,Kepler
3.747838198,5.0642,616.0,13.65,0.151387,5514.0,0.826,0.926,266.76,1031.0,FALSE POSITIVE,Kepler
14.74914825,6.0995,430.2,2.89,0.018864,5847.0,1.402,1.113,137.91,874.0,CONFIRMED,Kepler
21.81295996,4.3791,1175.4,3.38,0.030952,5601.0,0.999,0.934,39.33,639.0,CONFIRMED,Kepler
7.91936937,3.3148,15148.0,10.34,0.121984,5690.0,0.776,0.852,104.0,814.0,FALSE POSITIVE,Kepler
1.028436523,1.8606,8098.0,72.77,0.673134,6228.0,0.99,0.959,3400.48,1947.0,CANDIDATE,Kepler
15.37562369,3.3169,15337.0,11.01,0.12103,4986.0,0.833,0.793,30.54,600.0,CONFIRMED,Kepler
8.10363271,3.161,887.9,2.11,0.026361,4861.0,0.732,0.733,52.82,687.0,CONFIRMED,Kepler
4.71510843,2.506,417.5,1.46,0.018268,4861.0,0.732,0.733,108.84,823.0,CONFIRMED,Kepler
6.365839713,2.9721,780.7,2.44,0.026275,5776.0,0.849,0.939,165.33,914.0,CONFIRMED,Kepler
5.97581754,3.065,962.4,3.86,0.035468,6108.0,0.997,1.072,284.25,1047.0,FALSE POSITIVE,Kepler
2.446737317,4.7211,1177.9,26.25,0.278526,5764.0,0.863,0.959,597.19,1261.0,FALSE POSITIVE,Kepler
3.04033046,1.8411,10859.0,8.99,0.104023,5035.0,0.791,0.754,257.29,1021.0,CONFIRMED,Kepler
15.33528675,3.897,3081.4,5.0,0.056,5251.0,0.817,0.926,32.67,610.0,CONFIRMED,Kepler
7.95825328,4.377,50.0,1.06,0.006915,5847.0,1.402,1.113,314.15,1074.0,CONFIRMED,Kepler
31.33046135,5.176,5073.8,6.5,0.072904,5251.0,0.817,0.926,12.61,481.0,CONFIRMED,Kepler
3.9043425,3.831,16228.0,12.28,0.125229,5810.0,0.898,0.989,351.05,1104.0,FALSE POSITIVE,Kepler
9.286358079,3.49949,44791.0,17.61,0.19639,5670.0,0.821,0.82,95.03,796.0,FALSE POSITIVE,Kepler
3.951405455,2.1862,2453.9,31.44,0.331342,6046.0,0.869,0.953,388.71,1133.0,FALSE POSITIVE,Kepler
23.65369415,8.2183,3341.8,7.89,0.05219,5739.0,1.384,1.083,67.65,731.0,CONFIRMED,Kepler
13.23352214,6.7372,504.6,3.06,0.020278,5739.0,1.384,1.083,146.67,888.0,CONFIRMED,Kepler
6.15560285,4.9843,285.0,2.32,0.015336,5739.0,1.384,1.083,406.94,1146.0,CONFIRMED,Kepler
2.090811305,3.388,115.9,1.62,0.010686,5739.0,1.384,1.083,1718.04,1642.0,CONFIRMED,Kepler
3.180027898,3.5797,120.3,1.53,0.009989,5847.0,1.402,1.113,1066.86,1458.0,CONFIRMED,Kepler
50.4467417,7.159,370.3,2.67,0.01767,5739.0,1.384,1.083,24.64,568.0,CONFIRMED,Kepler
11.76307164,2.9076,1037.3,2.35,0.028519,4959.0,0.756,0.849,33.99,616.0,CONFIRMED,Kepler
56.2279271,3.57,862.7,2.37,0.028683,4959.0,0.756,0.849,4.22,366.0,CONFIRMED,Kepler
2.384052875,3.0918,1268.1,17.06,0.222925,4794.0,0.701,0.683,244.87,1010.0,FALSE POSITIVE,Kepler
7.953547,2.6312,875.4,2.25,0.026448,4768.0,0.779,0.759,55.37,696.0,CONFIRMED,Kepler
4.14451656,2.3421,391.8,1.48,0.017441,4768.0,0.779,0.759,132.08,864.0,CONFIRMED,Kepler
4.859386384,2.2757,6044.3,38.33,0.355227,6072.0,0.988,1.05,364.23,1114.0,FALSE POSITIVE,Kepler
10.526294577,2.5211,9768.0,8.24,0.095143,5386.0,0.793,0.82,61.16,713.0,CONFIRMED,Kepler
4.583520948,2.7055,3812.1,5.39,0.056287,5815.0,0.877,0.973,274.98,1038.0,CONFIRMED,Kepler
3.76181843,3.5176,510.6,2.66,0.025656,5653.0,0.949,0.974,372.62,1121.0,CONFIRMED,Kepler
8.20396958,2.9667,1024.4,3.01,0.033372,5015.0,0.826,0.785,71.5,742.0,CONFIRMED,Kepler
14.49645186,4.016,647.5,3.01,0.033377,5015.0,0.826,0.785,33.48,613.0,CONFIRMED,Kepler
6.54626149,2.75,655.9,2.19,0.024555,5251.0,0.817,0.926,101.78,810.0,CONFIRMED,Kepler
12.71809866,3.0957,1149.4,2.31,0.030871,4702.0,0.686,0.67,23.6,562.0,CONFIRMED,Kepler
36.06588163,4.3246,1563.8,2.64,0.035281,4702.0,0.686,0.67,5.88,397.0,CONFIRMED,Kepler
4.190425659,2.8589,2877.4,6.21,0.050076,6073.0,1.135,1.163,547.9,1234.0,CONFIRMED,Kepler
